distance,time_different,WeekDay,Hour,v,s0,s1,s2,s3,s4
2.001533616281579,135012,2,21,40.586625370023945,-1,-92010,10989,56075,135012
2.001533616281579,133931,2,21,40.586625370023945,-1,-93091,9908,54994,133931
2.001533616281579,133020,2,21,40.586625370023945,-1,-94002,8997,54083,133020
2.001533616281579,132020,2,21,40.586625370023945,-1,-95002,7997,53083,132020
1.7326420249269805,131020,2,21,40.586625370023945,-1,-96002,6997,52083,131020
1.7326420249269805,130128,2,21,40.586625370023945,-1,-96894,6105,51191,130128
1.7326420249269805,130018,2,21,40.586625370023945,-1,-97004,5995,51081,130018
1.7326420249269805,129020,2,21,40.586625370023945,-1,-98002,4997,50083,129020
1.7326420249269805,128011,2,21,40.586625370023945,-1,-99011,3988,49074,128011
1.7326420249269805,127020,2,21,40.586625370023945,-1,-100002,2997,48083,127020
1.7326420249269805,126012,2,21,40.586625370023945,-1,-101010,1989,47075,126012
1.7326420249269805,125021,2,21,40.586625370023945,-1,-102001,998,46084,125021
1.7326420249269805,124023,2,21,40.586625370023945,-1,-102999,0,45086,124023
1.7326420249269805,123007,2,21,40.586625370023945,-1,-104015,-1016,44070,123007
1.7326420249269805,121991,2,21,40.586625370023945,-1,-105031,-2032,43054,121991
1.540319109424145,121012,2,21,40.586625370023945,-1,-106010,-3011,42075,121012
1.540319109424145,119956,2,21,40.586625370023945,-1,-107066,-4067,41019,119956
1.540319109424145,119776,2,21,40.586625370023945,-1,-107246,-4247,40839,119776
1.540319109424145,119020,2,21,40.586625370023945,-1,-108002,-5003,40083,119020
1.540319109424145,117912,2,21,40.586625370023945,-1,-109110,-6111,38975,117912
1.540319109424145,117020,2,21,40.586625370023945,-1,-110002,-7003,38083,117020
1.540319109424145,116003,2,21,40.586625370023945,-1,-111019,-8020,37066,116003
1.540319109424145,114995,2,21,40.586625370023945,-1,-112027,-9028,36058,114995
1.540319109424145,114011,2,21,40.586625370023945,-1,-113011,-10012,35074,114011
1.540319109424145,113012,2,21,40.586625370023945,-1,-114010,-11011,34075,113012
1.540319109424145,112012,2,21,40.586625370023945,-1,-115010,-12011,33075,112012
1.540319109424145,111013,2,21,40.586625370023945,-1,-116009,-13010,32076,111013
1.540319109424145,110013,2,21,40.586625370023945,-1,-117009,-14010,31076,110013
1.540319109424145,109013,2,21,40.586625370023945,-1,-118009,-15010,30076,109013
1.540319109424145,108012,2,21,40.586625370023945,-1,-119010,-16011,29075,108012
